No.	Character Entity Reference	Codepoint	Number Character Reference(DEC)	Number Character Reference(HEX)	Description
1	&nbsp;	160	&#160;	&#x00A0	no-break space = non-breaking space, U+00A0 ISOnum
2	&iexcl;	161	&#161;	&#x00A1	inverted exclamation mark, U+00A1 ISOnum
3	&cent;	162	&#162;	&#x00A2	cent sign, U+00A2 ISOnum
4	&pound;	163	&#163;	&#x00A3	pound sign, U+00A3 ISOnum
5	&curren;	164	&#164;	&#x00A4	currency sign, U+00A4 ISOnum
6	&yen;	165	&#165;	&#x00A5	yen sign = yuan sign, U+00A5 ISOnum
7	&brvbar;	166	&#166;	&#x00A6	broken bar = broken vertical bar, U+00A6 ISOnum
8	&sect;	167	&#167;	&#x00A7	section sign, U+00A7 ISOnum
9	&uml;	168	&#168;	&#x00A8	diaeresis = spacing diaeresis, U+00A8 ISOdia
10	&copy;	169	&#169;	&#x00A9	copyright sign, U+00A9 ISOnum
11	&ordf;	170	&#170;	&#x00AA	feminine ordinal indicator, U+00AA ISOnum
12	&laquo;	171	&#171;	&#x00AB	left-pointing double angle quotation mark = left pointing guillemet, U+00AB ISOnum
13	&not;	172	&#172;	&#x00AC	not sign, U+00AC ISOnum
14	&shy;	173	&#173;	&#x00AD	soft hyphen = discretionary hyphen, U+00AD ISOnum
15	&reg;	174	&#174;	&#x00AE	registered sign = registered trade mark sign, U+00AE ISOnum
16	&macr;	175	&#175;	&#x00AF	macron = spacing macron = overline = APL overbar, U+00AF ISOdia
17	&deg;	176	&#176;	&#x00B0	degree sign, U+00B0 ISOnum
18	&plusmn;	177	&#177;	&#x00B1	plus-minus sign = plus-or-minus sign, U+00B1 ISOnum
19	&sup2;	178	&#178;	&#x00B2	superscript two = superscript digit two = squared, U+00B2 ISOnum
20	&sup3;	179	&#179;	&#x00B3	superscript three = superscript digit three = cubed, U+00B3 ISOnum
21	&acute;	180	&#180;	&#x00B4	acute accent = spacing acute, U+00B4 ISOdia
